NOMBRE_COMUNA_EGRESO;IPS;PROMEDIO_COMUNA_gral;PROMEDIO_COMUNA_NOTA
LA PINTANA;89.36;370.5;370.5
LO ESPEJO;87.0;729.5;729.5
LO ESPEJO;87.0;493.0;493.0
MARIA PINTO;83.02;562.5;562.5
LA PINTANA;89.36;585.75;585.75
LA REINA;32.42;582.0;582.0
LO BARNECHEA;24.97;705.5;705.5
LA PINTANA;89.36;776.5;776.5
ÑUÑOA;30.63;586.75;586.75
CERRO NAVIA;85.74;494.5;494.5
ÑUÑOA;30.63;586.97;586.97
ÑUÑOA;30.63;855.0;855.0
LO BARNECHEA;24.97;766.0;766.0
LAS CONDES;13.19;474.5;474.5
MARIA PINTO;83.02;518.0;518.0
CERRO NAVIA;85.74;574.02;574.02
VITACURA;3.32;702.6517353090536;702.6517353090536
LO ESPEJO;87.0;568.12;568.12
CERRO NAVIA;85.74;542.0;542.0
LO BARNECHEA;24.97;788.0;788.0
ÑUÑOA;30.63;577.05;577.05
ÑUÑOA;30.63;869.5;869.5
CERRO NAVIA;85.74;616.5;616.5
ÑUÑOA;30.63;580.18;580.18
LA PINTANA;89.36;511.0;511.0
LO BARNECHEA;24.97;571.5;571.5
LO BARNECHEA;24.97;653.5;653.5
LAS CONDES;13.19;678.5;678.5
PROVIDENCIA;20.18;872.98;872.98
LAS CONDES;13.19;587.7;587.7
CERRO NAVIA;85.74;717.0;717.0
LAS CONDES;13.19;520.5;520.5
ÑUÑOA;30.63;437.5;437.5
LO ESPEJO;87.0;563.69;563.69
LA REINA;32.42;573.65;573.65
LO ESPEJO;87.0;584.05;584.05
VITACURA;3.32;483.5;483.5
LO BARNECHEA;24.97;854.56;854.56
VITACURA;3.32;826.5;826.5
LAS CONDES;13.19;796.2289132539659;796.2289132539659
VITACURA;3.32;711.0;711.0
LA REINA;32.42;771.0;771.0
LO BARNECHEA;24.97;678.8958124762389;678.8958124762389
LA REINA;32.42;885.0;885.0
VITACURA;3.32;424.0;424.0
VITACURA;3.32;740.5;740.5
LO BARNECHEA;24.97;784.0;784.0
LA REINA;32.42;826.0;826.0
ÑUÑOA;30.63;895.73;895.73
LA REINA;32.42;805.5;805.5
LA PINTANA;89.36;571.32;571.32
LO ESPEJO;87.0;499.0;499.0
ÑUÑOA;30.63;484.0;484.0
LA PINTANA;89.36;570.5;570.5
LA PINTANA;89.36;567.51;567.51
CERRO NAVIA;85.74;613.0;613.0
LO BARNECHEA;24.97;671.5;671.5
LO ESPEJO;87.0;575.64;575.64
ÑUÑOA;30.63;899.5;899.5
LA REINA;32.42;700.0;700.0
LO BARNECHEA;24.97;652.0;652.0
LA REINA;32.42;898.0;898.0
LAS CONDES;13.19;619.0;619.0
LA REINA;32.42;542.5;542.5
LAS CONDES;13.19;512.0;512.0
VITACURA;3.32;874.0;874.0
LA PINTANA;89.36;517.5;517.5
ÑUÑOA;30.63;585.62;585.62
LA REINA;32.42;903.77;903.77
LA REINA;32.42;860.5;860.5
LAS CONDES;13.19;469.5;469.5
LO BARNECHEA;24.97;588.5;588.5
MARIA PINTO;83.02;572.17;572.17
LAS CONDES;13.19;673.5;673.5
VITACURA;3.32;787.0;787.0
VITACURA;3.32;737.5;737.5
PROVIDENCIA;20.18;853.29;853.29
LA PINTANA;89.36;680.5;680.5
LA REINA;32.42;689.0;689.0
VITACURA;3.32;516.0;516.0
VITACURA;3.32;858.4873065447023;858.4873065447023
LO BARNECHEA;24.97;499.0;499.0
CERRO NAVIA;85.74;567.5;567.5
LO BARNECHEA;24.97;388.5;388.5
LO ESPEJO;87.0;747.5;747.5
LA PINTANA;89.36;908.5;908.5
CERRO NAVIA;85.74;548.5;548.5
ÑUÑOA;30.63;581.73;581.73
ÑUÑOA;30.63;426.5;426.5
PROVIDENCIA;20.18;754.0;754.0
PROVIDENCIA;20.18;453.71;453.71
VITACURA;3.32;714.0;714.0
LO ESPEJO;87.0;624.0;624.0
VITACURA;3.32;635.0;635.0
PROVIDENCIA;20.18;783.5;783.5
LA PINTANA;89.36;656.5;656.5
LA PINTANA;89.36;722.0;722.0
LA PINTANA;89.36;741.0;741.0
LAS CONDES;13.19;387.0;387.0
LAS CONDES;13.19;590.64;590.64
LAS CONDES;13.19;773.167218539556;773.167218539556
LAS CONDES;13.19;566.97;566.97
LA PINTANA;89.36;594.95;594.95
ÑUÑOA;30.63;497.5;497.5
VITACURA;3.32;487.0;487.0
LA PINTANA;89.36;468.0;468.0
MARIA PINTO;83.02;600.0;600.0
CERRO NAVIA;85.74;641.0;641.0
LA REINA;32.42;429.5;429.5
LA PINTANA;89.36;569.89;569.89
LA REINA;32.42;590.0;590.0
LA REINA;32.42;740.5;740.5
LO BARNECHEA;24.97;860.5;860.5
LO BARNECHEA;24.97;848.2140892259326;848.2140892259326
CERRO NAVIA;85.74;817.5;817.5
LA PINTANA;89.36;583.15;583.15
CERRO NAVIA;85.74;489.5;489.5
PROVIDENCIA;20.18;435.0;435.0
LAS CONDES;13.19;870.0;870.0
ÑUÑOA;30.63;582.82;582.82
LAS CONDES;13.19;567.45;567.45
VITACURA;3.32;837.5;837.5
PROVIDENCIA;20.18;575.52;575.52
LO ESPEJO;87.0;465.5;465.5
LA PINTANA;89.36;576.35;576.35
CERRO NAVIA;85.74;724.5;724.5
ÑUÑOA;30.63;667.5;667.5
ÑUÑOA;30.63;575.39;575.39
LA PINTANA;89.36;467.0;467.0
LO BARNECHEA;24.97;464.49;464.49
LO ESPEJO;87.0;699.5;699.5
LA PINTANA;89.36;583.67;583.67
LA PINTANA;89.36;419.0;419.0
PROVIDENCIA;20.18;542.5;542.5
LO ESPEJO;87.0;716.0;716.0
LA PINTANA;89.36;661.0;661.0
LAS CONDES;13.19;573.44;573.44
PROVIDENCIA;20.18;622.44;622.44
LA REINA;32.42;698.5755389594847;698.5755389594847
ÑUÑOA;30.63;654.68;654.68
LO ESPEJO;87.0;493.5;493.5
LA PINTANA;89.36;713.0;713.0
LO ESPEJO;87.0;391.0;391.0
ÑUÑOA;30.63;579.74;579.74
LAS CONDES;13.19;493.5;493.5
ÑUÑOA;30.63;589.98;589.98
LA REINA;32.42;624.0;624.0
LO ESPEJO;87.0;767.0;767.0
VITACURA;3.32;754.4605104808174;754.4605104808174
VITACURA;3.32;610.0;610.0
ÑUÑOA;30.63;577.19;577.19
VITACURA;3.32;830.0;830.0
LO BARNECHEA;24.97;535.61;535.61
LA PINTANA;89.36;569.39;569.39
PROVIDENCIA;20.18;747.4836982854863;747.4836982854863
VITACURA;3.32;837.9425064195689;837.9425064195689
LO BARNECHEA;24.97;608.5;608.5
ÑUÑOA;30.63;527.28;527.28
LO ESPEJO;87.0;436.5;436.5
VITACURA;3.32;698.5755389594847;698.5755389594847
LO BARNECHEA;24.97;629.0;629.0
PROVIDENCIA;20.18;623.0;623.0
LO BARNECHEA;24.97;501.5;501.5
LO ESPEJO;87.0;665.5;665.5
LA PINTANA;89.36;566.88;566.88
LO BARNECHEA;24.97;643.0;643.0
ÑUÑOA;30.63;708.5;708.5
PROVIDENCIA;20.18;574.12;574.12
LAS CONDES;13.19;743.0;743.0
LAS CONDES;13.19;726.2064650413881;726.2064650413881
ÑUÑOA;30.63;573.56;573.56
PROVIDENCIA;20.18;429.21;429.21
PROVIDENCIA;20.18;789.18;789.18
LA REINA;32.42;515.59;515.59
LO BARNECHEA;24.97;580.5;580.5
LO ESPEJO;87.0;549.5;549.5
LA PINTANA;89.36;492.81;492.81
VITACURA;3.32;578.5;578.5
LA REINA;32.42;568.0;568.0
MARIA PINTO;83.02;499.0;499.0
LA REINA;32.42;845.5;845.5
LA REINA;32.42;543.49;543.49
CERRO NAVIA;85.74;674.5;674.5
LA REINA;32.42;603.0;603.0
LO ESPEJO;87.0;638.5;638.5
LA PINTANA;89.36;578.22;578.22
LO BARNECHEA;24.97;668.5;668.5
LAS CONDES;13.19;433.5;433.5
LO BARNECHEA;24.97;677.5;677.5
LAS CONDES;13.19;501.5;501.5
ÑUÑOA;30.63;602.22;602.22
