NOMBRE_COMUNA_EGRESO;NOMBRE_UNIDAD_EDUC;PROMEDIO_COLEGIO
SAN BERNARDO;LICEO NUEVO PORVENIR;547.8825
PIRQUE; ;605.5062594268477
COLINA;LICEO HUMBERTO DIAZ CASANUEVA;447.4746153846154
LAMPA;LICEO MUNICIP. DE ADULTOS PEDRO J. RODRIGUEZ;530.75375
SANTIAGO;COLEGIO NUESTRA SENORA DE ANDACOLLO;642.4242028985507
RECOLETA;COMERCIAL AVDA.RECOLETA;581.8033333333333
PROVIDENCIA; ;605.5062594268477
LA REINA;COLEGIO SANTA CATALINA LABOURÉ;625.1769811320754
PROVIDENCIA;LICEO Nº7 DE PROVIDENCIA LUISA SAAVEDRA;667.7619952494061
CERRO NAVIA;LICEO POLIVALENTE LOS HEROES DE LA CONCEPCIÓN;524.0285135135135
PEDRO AGUIRRE CERDA;LICEO POLIVALENTE EUGENIO PEREIRA SALAS;543.55390625
LA PINTANA;ESC.BASICA PROF.AURELIA ROJAS BURGOS;548.2555555555556
SAN MIGUEL;LICEO ANDRES BELLO;621.1360747663551
MELIPILLA;COLEGIO DE ADULTOS  ALBA DE ORO;581.6427586206896
SAN MIGUEL;ESC. ESP. DE ADULTOS HUGO MORALES BIZAMA;458.84125
SAN MIGUEL;COLEGIO CORAZON DE MARIA;672.835
COLINA;COLEGIO DE ADULTOS SEMBRADOR SAN BENITO;526.3100000000001
LO ESPEJO;COMPLEJO EDUC. ADULTOS CALETA SUR;525.1353571428571
LA REINA;COLEGIO ANDREE ENGLISH SCHOOL;823.1095054945055
PUDAHUEL;COLEGIO POLIV. SAN LUIS BELTRAN;558.768761904762
MAIPU; ;605.5062594268477
RECOLETA;LICEO A-1 VALENTIN LETELIER;543.6358677685951
SAN JOSE DE MAIPO;LICEO POLIVALENTE SAN JOSE DE MAIPO;525.41140625
PUENTE ALTO;LICEO COMERCIAL DE PUENTE ALTO;533.9895180722891
SANTIAGO;LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT;532.9322751322751
EL MONTE;CENTRO  EDUCACIONAL  DE  ADULTOS  EL MONTE;480.01599999999996
LAS CONDES;COLEGIO SCUOLA ITALIANA VITTORIO MONTIGLIO;759.7721111111111
PROVIDENCIA;COLEGIO SAN IGNACIO EL BOSQUE;796.4948913043478
COLINA;LICEO POLIVALENTE RIGOBERTO FONTT I.;539.9404166666667
BUIN;LICEO 131;551.5862678062678
MAIPU;COLEGIO SAN LEONARDO;648.4613333333333
SANTIAGO;COLEGIO DE ADULTOS YANQUIRAY;522.5
SANTIAGO;LICEO MUNICIPAL METROPOLITANO DE ADULTOS;565.1004761904762
TILTIL;COLEGIO DE ADULTOS ALTOS DEL HUERTO;553.5622222222223
PUDAHUEL; ;605.5062594268477
PUDAHUEL;ESCUELAS  DEL  CARIÑO ALBORADA;546.5426666666666
SANTIAGO;COLEGIO DE ADULTOS INSTITUTO TABANCURA SEDE LONDRES;585.5686885245902
MELIPILLA;COLEGIO MARAMBIO;724.2695081967214
SANTIAGO;LICEO JOSE MIGUEL CARRERA;489.0
RECOLETA;COLEGIO  EDUCAR ADULTOS  RECOLETA;532.6722222222222
SAN BERNARDO; ;605.5062594268477
ÑUÑOA;LICEO COMERCIAL GABRIEL GONZALEZ VIDELA;568.8925503355705
LA FLORIDA;COLEGIO SANTA MARIA;629.6582993197279
LA CISTERNA;CENTRO EDUCACIONAL SANTA ROSA;551.1030597014925
MAIPU;COLEGIO DE AD. EDUCAP;545.5989655172414
LO ESPEJO;LICEO POLIVALENTE;518.0818604651163
LA GRANJA;LICEO POLIVALENTE FRANCISCO FRIAS V.;552.0141176470588
CALERA DE TANGO;RIELJAN COLLEGE;537.4101923076923
SAN BERNARDO;CENTRO EDUC. PADRE ALBERTO HURTADO DE SAN BER;538.9018072289157
PROVIDENCIA;COLEGIO UNIVERSITARIO INGLES;686.2828571428571
BUIN; ;605.5062594268477
LA CISTERNA;CENTRO POLITECNICO PARTICULAR SAN RAMON;542.9160869565218
MAIPU;CENTRO DE EDUCACIÓN DE ADULTOS BERNARDO O´HIGGINS DE MAIPÚ;558.579024390244
ESTACION CENTRAL;LICEO BICENTENARIO POLIVALENTE A N°71 GUILLERMO FELIU CRUZ;525.9894444444444
PUENTE ALTO;COLEGIO SAN FERNANDO DE PUENTE ALTO;574.6917073170732
LA CISTERNA;LICEO POLITECNICO GALVARINO N.2;577.16625
ESTACION CENTRAL;LICEO METROPOLITANO;595.8
SAN RAMON;LICEO COMERCIAL VATE VICENTE HUIDOBRO;556.897840909091
TALAGANTE;CENTRO DE EDUC. INTEGRADA DE ADULTOS TALAGANT;539.4192307692308
SANTIAGO;COLEGIO DE ADULTOS PULMAHUE;583.4331428571428
SAN MIGUEL;COLEGIO CHILE ANEXO;588.6
PROVIDENCIA;ESCUELA Y LICEO PAULINA VON MALLINCKRODT;562.9883647798741
PUENTE ALTO;ESCUELA TECNICA LAS NIEVES;606.5
SAN BERNARDO;COLEGIO CORDILLERA DE LOS ANDES;493.42150000000004
VITACURA;COLEGIO LOS ANDES DE VITACURA;788.9487058823529
SAN MIGUEL;LICEO COMERCIAL INSTITUTO SUPERIOR DE COMERCIO DE CHILE (EX A99);559.0720920502092
LA FLORIDA;ESC BASICA PARTICULAR SAN VALENTIN;545.302
CONCHALI;COLEGIO EDUCAADULTOS CONCHALI;543.2274358974358
MAIPU;COLEGIO INSTITUTO RAMÓN FREIRE;571.9697777777777
